ID,datetime,year,hour,month,temperature,var1,pressure,windspeed,var2,electricity_consumption
4,01/07/2013 04:00,2013,04:00:00,7,-11.4,-19.3,1005,586.6,A,222
3,01/07/2013 03:00,2013,03:00:00,7,-11.4,-17.1,995,582.58,A,216
2,01/07/2013 02:00,2013,02:00:00,7,-12.9,-20,1000,578.435,A,225
1,01/07/2013 01:00,2013,01:00:00,7,-12.1,-19.3,996,575.04,A,210
0,01/07/2013 00:00,2013,00:00:00,7,-11.4,-17.1,1003,571.91,A,216
16201,07/05/2015 01:00,2015,01:00:00,5,-1.4,-5.7,994,455.245,A,252
16200,07/05/2015 00:00,2015,00:00:00,5,0.7,-5,985,452.35,A,246
16199,06/05/2015 23:00,2015,23:00:00,5,-0.7,-5.7,992,448.455,A,231
147,07/07/2013 03:00,2013,03:00:00,7,-10,-15,1001,447.535,A,210
146,07/07/2013 02:00,2013,02:00:00,7,-10,-17.9,1003,443.015,A,201
34818,20/06/2017 18:00,2017,18:00:00,6,-2.9,-13.6,995,442.93,A,195
16198,06/05/2015 22:00,2015,22:00:00,5,1.4,-5.7,998,442.02,A,228
145,07/07/2013 01:00,2013,01:00:00,7,-8.6,-15.7,1001,438.62,A,195
34817,20/06/2017 17:00,2017,17:00:00,6,-2.9,-16.4,996,438.41,A,189
16197,06/05/2015 21:00,2015,21:00:00,5,0,-3.6,1003,438.375,A,240
144,07/07/2013 00:00,2013,00:00:00,7,-7.1,-17.1,1010,434.45,A,201
34816,20/06/2017 16:00,2017,16:00:00,6,-2.9,-17.1,1003,433.765,A,204
16196,06/05/2015 20:00,2015,20:00:00,5,1.4,-3.6,993,433.58,A,240
143,06/07/2013 23:00,2013,23:00:00,7,-9.3,-15,1005,431.32,A,213
34815,20/06/2017 15:00,2017,15:00:00,6,-2.1,-16.4,997,426.84,A,198
16195,06/05/2015 19:00,2015,19:00:00,5,2.1,-5,994,426.43,A,246
142,06/07/2013 22:00,2013,22:00:00,7,-7.9,-15,998,426.175,A,231
141,06/07/2013 21:00,2013,21:00:00,7,-9.3,-17.1,1002,423.42,A,198
16194,06/05/2015 18:00,2015,18:00:00,5,2.9,-5.7,985,420.12,A,216
140,06/07/2013 20:00,2013,20:00:00,7,-6.4,-14.3,1013,419.375,A,213
34814,20/06/2017 14:00,2017,14:00:00,6,-3.6,-15,995,417.525,A,225
139,06/07/2013 19:00,2013,19:00:00,7,-5,-17.9,1011,414.455,A,201
16193,06/05/2015 17:00,2015,17:00:00,5,3.6,-4.3,992,413.095,A,231
138,06/07/2013 18:00,2013,18:00:00,7,-5.7,-16.4,1013,407.645,A,195
34813,20/06/2017 13:00,2017,13:00:00,6,-2.1,-15,994,407.07,A,186
16192,06/05/2015 16:00,2015,16:00:00,5,3.6,-5.7,997,405.695,A,213
